p0.248	0.667071	7e-06	0.001962
p0.249	0.686669	7e-06	0.015315
p0.25	0.7112	7e-06	0.055306
p0.251	0.734292	7e-06	0.041227
p0.252	0.756757	7e-06	0.038226
p0.253	0.771977	7e-06	0.032573
p0.254	0.790994	7e-06	0.028202
p0.255	0.812092	5e-06	0.015936
p0.256	0.828686	5e-06	0.011377
p0.257	0.841243	5e-06	0.008801
p0.258	0.851293	5e-06	0.00858
p0.259	0.856991	5e-06	0.006822
p0.26	0.87793	5e-06	0.004963
p0.261	0.883121	5e-06	0.004948
p0.262	0.889924	5e-06	0.004772
p0.263	0.897801	3e-06	0.004058
p0.264	0.90331	3e-06	0.003032
p0.265	0.910008	3e-06	0.002419
p0.266	0.913653	3e-06	0.002412
p0.267	0.920455	3e-06	0.001351
p0.268	0.923572	3e-06	0.001301
p0.269	0.9287	3e-06	0.001189
p0.27	0.933056	3e-06	0.000774
p0.271	0.935061	3e-06	0.000774
p0.272	0.937573	3e-06	0.000758
p0.273	0.939395	3e-06	0.000758
p0.274	0.940372	3e-06	0.000754
p0.275	0.941594	3e-06	0.000667
p0.276	0.942225	3e-06	0.000667
p0.277	0.944108	1e-06	0.00046
p0.278	0.944867	1e-06	0.00046
p0.279	0.945395	1e-06	0.00046
p0.28	0.946449	1e-06	0.000437
p0.281	0.946676	1e-06	0.000437
p0.282	0.947194	1e-06	0.000434
p0.283	0.947923	1e-06	0.000433
p0.284	0.94868	1e-06	0.000433
p0.285	0.948879	1e-06	0.000433
p0.286	0.949225	1e-06	0.000425
p0.287	0.949739	1e-06	0.000414
p0.288	0.950802	1e-06	0.000414
p0.289	0.951701	1e-06	0.000294
p0.29	0.952245	1e-06	0.000294
p0.291	0.952466	1e-06	0.000294
p0.292	0.952628	1e-06	0.000294
p0.293	0.952842	1e-06	0.000294
p0.294	0.953042	1e-06	0.000294
p0.295	0.953317	1e-06	0.000292
p0.296	0.953643	1e-06	0.000292
p0.297	0.953886	1e-06	0.000285
p0.298	0.954451	1e-06	0.000232
p0.299	0.954716	1e-06	0.000232
p0.3	0.954887	1e-06	0.000232
